"timestamp","mNID","mMID","mHasAgg","mAggList","c1ID","c1MID","c1HasAgg","c1AggList","c2ID","c2MID","c2HasAgg","c2AggList","fpos2c1","fpos2c2","m_fpos2periph","m_agg2fpos","m_agg2periph","m_c1_agg2fpos","m_c2_agg2fpos","m_len","m_c1_len","m_c2_len","fileID","negneg","posneg","pospos","Type","fisRatio","fisRatio2"
30,69,70,TRUE,"[72]",72,73,TRUE,"[74]",71,72,FALSE,"[]",0.5,0.512640224719052,10.3398329268544,6.14242860904548,3.19907866814066,5.45037712935689,NA,11.9108906860014,10.0403362858177,1.45841753442795,"20210329_Tom70GFPMTSFlcMch_007y006",FALSE,TRUE,FALSE,"DUMP+/-",0.868099053163721,0.372669041543037
23,45,46,TRUE,"[45,44]",48,49,TRUE,"[47,46]",46,47,FALSE,"[]",0.24,0.16,1.7452804494381,2.8373319291267,4.54319462490279,2.5173319291267,NA,7.24671533794199,5.12084614347343,1.76469170440765,"20210329_Tom70GFPMTSFlcMch_008y002",FALSE,TRUE,FALSE,"DUMP+/-",0.24083745090693,0.619151631152208
26,53,54,TRUE,"[51,50]",56,57,TRUE,"[53,52]",54,55,FALSE,"[]",0.16,0.16,1.8252804494381,2.08469170440765,3.90997215384575,1.87782878939749,NA,6.48603470815187,4.60016551368331,2.16419484413685,"20210329_Tom70GFPMTSFlcMch_008y002",FALSE,TRUE,FALSE,"DUMP+/-",0.281417003079559,0.53317303100412
31,67,68,TRUE,"[61,60]",70,71,TRUE,"[63,62]",68,69,FALSE,"[]",0.08,0.53103672189407,1.97271911209377,2.24419484413685,4.19005753991294,2.1973319291267,NA,6.89298300922921,4.90025739844297,1.45841753442795,"20210329_Tom70GFPMTSFlcMch_008y002",FALSE,TRUE,FALSE,"DUMP+/-",0.286192365402967,0.532188910523294
2,4,5,TRUE,"[1]",7,8,TRUE,"[2]",6,7,FALSE,"[]",0.512640224719052,0.5,1.25899978076594,0.506359556046887,1.7652804494381,0,NA,9.99793737053091,8.87208117344729,1.1052804494381,"20210329_Tom70GFPMTSFlcMch_008y009",FALSE,TRUE,FALSE,"DUMP+/-",0.125925951934532,0.286830870909866
39,79,80,TRUE,"[38]",82,83,TRUE,"[39]",81,82,FALSE,"[]",0.791959594928933,0.16,0.5,5.12802214923506,5.52752528896426,5.10193174877468,NA,7.81858304811126,7.18612659291153,0.818914394698747,"20210329_Tom70GFPMTSFlcMch_008y009",FALSE,TRUE,FALSE,"DUMP+/-",0.0639502064406396,0.911158842886225
7,12,13,TRUE,"[18,17,16]",15,16,TRUE,"[21,20,19]",14,15,FALSE,"[]",0.339411254969543,0.08,1.31264022471905,1.48527395074563,2.70418834544438,1.33899978076594,NA,10.0145537176577,8.47563932295897,1.29891439469875,"20210329_Tom70GFPMTSFlcMch_008y010",FALSE,TRUE,FALSE,"DUMP+/-",0.131073262146929,0.530850432715276
13,30,31,TRUE,"[36,35,34]",34,35,TRUE,"[39,38,37]",33,34,FALSE,"[]",0.5,0.512640224719052,8.2237716127897,1.5,1.63078210486802,1,NA,9.75541161827469,8.51582309247829,1.37841753442795,"20210329_Tom70GFPMTSFlcMch_008y010",FALSE,TRUE,FALSE,"DUMP+/-",0.842995860613837,0.15426113032386
17,45,46,TRUE,"[48,47,46]",49,50,TRUE,"[51,50,49]",48,49,FALSE,"[]",0.524976189936267,0.5,8.45121027544537,1.84535933681282,1.79078210486802,1.17899978076594,NA,10.0628502809304,8.37749094411753,1.2652804494381,"20210329_Tom70GFPMTSFlcMch_008y010",FALSE,TRUE,FALSE,"DUMP+/-",0.839842593252219,0.179220789671145
25,76,77,TRUE,"[72,71,70]",80,81,TRUE,"[74,73]",79,80,FALSE,"[]",0.5,0.54881690936049,8.79071991386705,2.48369798386606,2.46342232958707,2.21674318409624,NA,10.1360003633052,8.41122327283031,1.4115546194178,"20210329_Tom70GFPMTSFlcMch_008y010",FALSE,TRUE,FALSE,"DUMP+/-",0.867276992776327,0.220295008256297
