"X","mitoType","freq","placeholder"
480,"DUMP+",67.7966101694915,"X"
481,"DUMP-",32.2033898305085,"X"
482,"DUMP+",67.4576271186441,"X"
483,"DUMP-",32.5423728813559,"X"
484,"DUMP+",68.8135593220339,"X"
485,"DUMP-",31.1864406779661,"X"
486,"DUMP+",75.2542372881356,"X"
487,"DUMP-",24.7457627118644,"X"
488,"DUMP+",70.5084745762712,"X"
489,"DUMP-",29.4915254237288,"X"
490,"DUMP+",75.2542372881356,"X"
491,"DUMP-",24.7457627118644,"X"
492,"DUMP+",69.4915254237288,"X"
493,"DUMP-",30.5084745762712,"X"
494,"DUMP+",72.2033898305085,"X"
495,"DUMP-",27.7966101694915,"X"
496,"DUMP+",72.8813559322034,"X"
497,"DUMP-",27.1186440677966,"X"
498,"DUMP+",72.2033898305085,"X"
499,"DUMP-",27.7966101694915,"X"
500,"DUMP+",68.135593220339,"X"
501,"DUMP-",31.864406779661,"X"
502,"DUMP+",68.4745762711864,"X"
503,"DUMP-",31.5254237288136,"X"
504,"DUMP+",71.5254237288136,"X"
505,"DUMP-",28.4745762711864,"X"
506,"DUMP+",73.8983050847458,"X"
507,"DUMP-",26.1016949152542,"X"
508,"DUMP+",67.4576271186441,"X"
509,"DUMP-",32.5423728813559,"X"
510,"DUMP+",72.5423728813559,"X"
511,"DUMP-",27.4576271186441,"X"
512,"DUMP+",74.2372881355932,"X"
513,"DUMP-",25.7627118644068,"X"
514,"DUMP+",71.1864406779661,"X"
515,"DUMP-",28.8135593220339,"X"
516,"DUMP+",70.8474576271186,"X"
517,"DUMP-",29.1525423728814,"X"
518,"DUMP+",72.2033898305085,"X"
519,"DUMP-",27.7966101694915,"X"
520,"DUMP+",68.8135593220339,"X"
521,"DUMP-",31.1864406779661,"X"
522,"DUMP+",68.8135593220339,"X"
523,"DUMP-",31.1864406779661,"X"
524,"DUMP+",66.4406779661017,"X"
525,"DUMP-",33.5593220338983,"X"
526,"DUMP+",74.9152542372881,"X"
527,"DUMP-",25.0847457627119,"X"
528,"DUMP+",68.4745762711864,"X"
529,"DUMP-",31.5254237288136,"X"
530,"DUMP+",73.2203389830509,"X"
531,"DUMP-",26.7796610169492,"X"
532,"DUMP+",71.864406779661,"X"
533,"DUMP-",28.135593220339,"X"
534,"DUMP+",71.864406779661,"X"
535,"DUMP-",28.135593220339,"X"
536,"DUMP+",73.2203389830509,"X"
537,"DUMP-",26.7796610169492,"X"
538,"DUMP+",70.1694915254237,"X"
539,"DUMP-",29.8305084745763,"X"
540,"DUMP+",70.1694915254237,"X"
541,"DUMP-",29.8305084745763,"X"
542,"DUMP+",70.1694915254237,"X"
543,"DUMP-",29.8305084745763,"X"
544,"DUMP+",70.8474576271186,"X"
545,"DUMP-",29.1525423728814,"X"
546,"DUMP+",70.5084745762712,"X"
547,"DUMP-",29.4915254237288,"X"
548,"DUMP+",70.5084745762712,"X"
549,"DUMP-",29.4915254237288,"X"
550,"DUMP+",71.864406779661,"X"
551,"DUMP-",28.135593220339,"X"
552,"DUMP+",72.8813559322034,"X"
553,"DUMP-",27.1186440677966,"X"
554,"DUMP+",68.135593220339,"X"
555,"DUMP-",31.864406779661,"X"
556,"DUMP+",73.2203389830509,"X"
557,"DUMP-",26.7796610169492,"X"
558,"DUMP+",73.2203389830509,"X"
559,"DUMP-",26.7796610169492,"X"
560,"DUMP+",70.5084745762712,"X"
561,"DUMP-",29.4915254237288,"X"
562,"DUMP+",69.4915254237288,"X"
563,"DUMP-",30.5084745762712,"X"
564,"DUMP+",70.5084745762712,"X"
565,"DUMP-",29.4915254237288,"X"
566,"DUMP+",72.2033898305085,"X"
567,"DUMP-",27.7966101694915,"X"
568,"DUMP+",72.2033898305085,"X"
569,"DUMP-",27.7966101694915,"X"
570,"DUMP+",72.8813559322034,"X"
571,"DUMP-",27.1186440677966,"X"
572,"DUMP+",72.2033898305085,"X"
573,"DUMP-",27.7966101694915,"X"
574,"DUMP+",68.4745762711864,"X"
575,"DUMP-",31.5254237288136,"X"
576,"DUMP+",72.8813559322034,"X"
577,"DUMP-",27.1186440677966,"X"
578,"DUMP+",65.4237288135593,"X"
579,"DUMP-",34.5762711864407,"X"
580,"DUMP+",69.1525423728814,"X"
581,"DUMP-",30.8474576271186,"X"
582,"DUMP+",67.7966101694915,"X"
583,"DUMP-",32.2033898305085,"X"
584,"DUMP+",72.5423728813559,"X"
585,"DUMP-",27.4576271186441,"X"
586,"DUMP+",69.4915254237288,"X"
587,"DUMP-",30.5084745762712,"X"
588,"DUMP+",70.8474576271186,"X"
589,"DUMP-",29.1525423728814,"X"
590,"DUMP+",70.1694915254237,"X"
591,"DUMP-",29.8305084745763,"X"
592,"DUMP+",73.2203389830509,"X"
593,"DUMP-",26.7796610169492,"X"
594,"DUMP+",70.5084745762712,"X"
595,"DUMP-",29.4915254237288,"X"
596,"DUMP+",70.1694915254237,"X"
597,"DUMP-",29.8305084745763,"X"
598,"DUMP+",75.2542372881356,"X"
599,"DUMP-",24.7457627118644,"X"
600,"DUMP+",77.2881355932203,"X"
601,"DUMP-",22.7118644067797,"X"
602,"DUMP+",73.2203389830509,"X"
603,"DUMP-",26.7796610169492,"X"
604,"DUMP+",73.8983050847458,"X"
605,"DUMP-",26.1016949152542,"X"
606,"DUMP+",68.8135593220339,"X"
607,"DUMP-",31.1864406779661,"X"
608,"DUMP+",71.1864406779661,"X"
609,"DUMP-",28.8135593220339,"X"
610,"DUMP+",70.5084745762712,"X"
611,"DUMP-",29.4915254237288,"X"
612,"DUMP+",69.1525423728814,"X"
613,"DUMP-",30.8474576271186,"X"
614,"DUMP+",71.864406779661,"X"
615,"DUMP-",28.135593220339,"X"
616,"DUMP+",74.9152542372881,"X"
617,"DUMP-",25.0847457627119,"X"
618,"DUMP+",73.2203389830509,"X"
619,"DUMP-",26.7796610169492,"X"
620,"DUMP+",66.4406779661017,"X"
621,"DUMP-",33.5593220338983,"X"
622,"DUMP+",70.8474576271186,"X"
623,"DUMP-",29.1525423728814,"X"
624,"DUMP+",70.5084745762712,"X"
625,"DUMP-",29.4915254237288,"X"
626,"DUMP+",71.864406779661,"X"
627,"DUMP-",28.135593220339,"X"
628,"DUMP+",71.864406779661,"X"
629,"DUMP-",28.135593220339,"X"
630,"DUMP+",70.8474576271186,"X"
631,"DUMP-",29.1525423728814,"X"
632,"DUMP+",71.1864406779661,"X"
633,"DUMP-",28.8135593220339,"X"
634,"DUMP+",72.5423728813559,"X"
635,"DUMP-",27.4576271186441,"X"
636,"DUMP+",68.135593220339,"X"
637,"DUMP-",31.864406779661,"X"
638,"DUMP+",73.2203389830509,"X"
639,"DUMP-",26.7796610169492,"X"
640,"DUMP+",68.135593220339,"X"
641,"DUMP-",31.864406779661,"X"
642,"DUMP+",71.5254237288136,"X"
643,"DUMP-",28.4745762711864,"X"
644,"DUMP+",67.4576271186441,"X"
645,"DUMP-",32.5423728813559,"X"
646,"DUMP+",74.9152542372881,"X"
647,"DUMP-",25.0847457627119,"X"
648,"DUMP+",70.8474576271186,"X"
649,"DUMP-",29.1525423728814,"X"
650,"DUMP+",71.5254237288136,"X"
651,"DUMP-",28.4745762711864,"X"
652,"DUMP+",71.1864406779661,"X"
653,"DUMP-",28.8135593220339,"X"
654,"DUMP+",72.2033898305085,"X"
655,"DUMP-",27.7966101694915,"X"
656,"DUMP+",73.5593220338983,"X"
657,"DUMP-",26.4406779661017,"X"
658,"DUMP+",72.5423728813559,"X"
659,"DUMP-",27.4576271186441,"X"
660,"DUMP+",72.5423728813559,"X"
661,"DUMP-",27.4576271186441,"X"
662,"DUMP+",67.1186440677966,"X"
663,"DUMP-",32.8813559322034,"X"
664,"DUMP+",70.8474576271186,"X"
665,"DUMP-",29.1525423728814,"X"
